Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,133.520004,133.610001,126.760002,129.410004,127.680023,143301900
2021-01-05,128.889999,131.740005,128.429993,131.009995,129.258591,97664900
2021-01-06,127.720001,131.050003,126.379997,126.599998,124.907562,155088000
2021-01-07,128.360001,131.630005,127.860001,130.919998,129.169815,109578200
2021-01-08,132.429993,132.630005,130.229996,132.050003,130.284714,105158200
2021-01-11,129.190002,130.169998,128.500000,128.979996,127.255753,100384500
2021-01-12,128.500000,129.690002,126.860001,128.800003,127.078163,91951100
2021-01-13,128.759995,131.449997,128.490005,130.889999,129.140228,88636800
2021-01-14,130.800003,131.000000,128.759995,128.910004,127.186691,90221800
2021-01-15,128.779999,130.220001,127.000000,127.139999,125.440346,111598500
2021-01-19,127.779999,128.710007,126.940002,127.830002,126.121124,90757300
2021-01-20,128.660004,132.490005,128.550003,132.029999,130.264954,104319500
2021-01-21,133.800003,139.669998,133.589996,136.869995,135.040298,120150900
2021-01-22,136.279999,139.850006,135.020004,139.070007,137.210861,114459400
2021-01-25,143.070007,145.089996,136.539993,142.919998,141.009399,157611700
2021-01-26,143.600006,144.300003,141.369995,143.160004,141.246170,98390600
2021-01-27,143.429993,144.300003,140.410004,142.059998,140.160889,140843800
2021-01-28,139.520004,141.990005,136.699997,137.089996,135.257339,142621100
2021-01-29,135.830002,136.740005,130.210007,131.960007,130.195923,177523800
2021-02-01,133.750000,135.380005,130.929993,134.139999,132.346756,106239800
2021-02-02,135.729996,136.309998,134.610001,134.990005,133.185410,83305400
2021-02-03,135.759995,135.770004,133.610001,133.940002,132.149475,89880900
2021-02-04,136.300003,137.399994,134.589996,137.389999,135.553314,84183100
2021-02-05,137.350006,137.419998,135.860001,136.759995,135.133392,75693800
2021-02-08,136.029999,136.960007,134.919998,136.910004,135.281570,71297200
2021-02-09,136.619995,137.880005,135.850006,136.009995,134.392288,76774200
2021-02-10,136.479996,136.990005,134.399994,135.389999,133.779663,73046600
2021-02-11,135.899994,136.389999,133.770004,135.130005,133.522766,64280000
2021-02-12,134.350006,135.529999,133.690002,135.369995,133.759888,60145100
2021-02-16,135.490005,136.009995,132.789993,133.190002,131.605820,80576300
2021-02-17,131.250000,132.220001,129.470001,130.839996,129.283783,97918500
2021-02-18,129.199997,130.000000,127.410004,129.710007,128.167236,96856700
2021-02-19,130.240005,130.710007,128.800003,129.869995,128.325317,87668800
2021-02-22,128.009995,129.720001,125.599998,126.000000,124.501358,103916400
2021-02-23,123.760002,126.709999,118.389999,125.860001,124.363022,158273000
2021-02-24,124.940002,125.559998,122.230003,125.349998,123.859077,111039900
2021-02-25,124.680000,126.459999,120.540001,120.989998,119.550949,148199500
2021-02-26,122.589996,124.849998,121.199997,121.260002,119.817719,164560400
2021-03-01,123.750000,127.930000,122.790001,127.790001,126.270065,116307900
2021-03-02,128.410004,128.720001,125.010002,125.120003,123.631813,102260900
2021-03-03,124.809998,125.709999,121.839996,122.059998,120.608208,112966300
2021-03-04,121.750000,123.599998,118.620003,120.129997,118.701180,178155000
2021-03-05,120.980003,121.940002,117.570000,121.419998,119.975822,153766600
2021-03-08,120.930000,121.000000,116.209999,116.360001,114.975998,154376600
2021-03-09,119.029999,122.059998,118.790001,121.089996,119.649750,129525800
2021-03-10,121.690002,122.169998,119.449997,119.980003,118.552956,111943300
2021-03-11,122.540001,123.209999,121.260002,121.959999,120.509399,103026500
2021-03-12,120.400002,121.169998,119.160004,121.029999,119.590462,88105100
2021-03-15,121.410004,124.000000,120.419998,123.989998,122.515259,92403800
2021-03-16,125.699997,127.220001,124.720001,125.570000,124.076469,115227900
2021-03-17,124.050003,125.860001,122.339996,124.760002,123.276100,111932600
2021-03-18,122.879997,123.180000,120.320000,120.529999,119.096405,121229700
2021-03-19,119.900002,121.430000,119.680000,119.989998,118.562828,185549500
2021-03-22,120.330002,123.870003,120.260002,123.389999,121.922386,111912300
2021-03-23,123.330002,124.239998,122.139999,122.540001,121.082512,95467100
2021-03-24,122.820000,122.900002,120.070000,120.089996,118.661636,88530500
2021-03-25,119.540001,121.660004,119.000000,120.589996,119.155685,98844700
2021-03-26,120.349998,121.480003,118.919998,121.209999,119.768318,94071200
2021-03-29,121.650002,122.580002,120.730003,121.389999,119.946182,80819200
2021-03-30,120.110001,120.400002,118.860001,119.900002,118.473900,85671900
2021-03-31,121.650002,123.519997,121.150002,122.150002,120.697144,118323800
2021-04-01,123.660004,124.180000,122.489998,123.000000,121.537018,75089100
2021-04-05,123.870003,126.160004,123.070000,125.900002,124.402550,88651200
2021-04-06,126.500000,127.129997,125.650002,126.209999,124.708855,80171300
2021-04-07,125.830002,127.919998,125.139999,127.900002,126.378754,83466700
2021-04-08,128.949997,130.389999,128.520004,130.360001,128.809479,88844600
2021-04-09,129.800003,133.039993,129.470001,133.000000,131.418091,106686700
2021-04-12,132.520004,132.850006,130.630005,131.240005,129.679016,91420000
2021-04-13,132.440002,134.660004,131.929993,134.429993,132.831085,91266500
2021-04-14,134.940002,135.000000,131.660004,132.029999,130.459641,87222800
2021-04-15,133.820007,135.000000,133.639999,134.500000,132.900253,89347100
2021-04-16,134.300003,134.669998,133.279999,134.160004,132.564301,84922400
2021-04-19,133.509995,135.470001,133.339996,134.839996,133.236191,94264200
2021-04-20,135.020004,135.529999,131.809998,133.110001,131.526794,94812300
2021-04-21,132.360001,133.750000,131.300003,133.500000,131.912125,68847100
2021-04-22,133.039993,134.149994,131.410004,131.940002,130.370697,84566500
2021-04-23,132.160004,135.119995,132.160004,134.320007,132.722382,78657500
2021-04-26,134.830002,135.059998,133.559998,134.720001,133.117645,66905100
2021-04-27,135.009995,135.410004,134.110001,134.389999,132.791580,66015800
2021-04-28,134.309998,135.020004,133.080002,133.580002,131.991165,107760100
2021-04-29,136.470001,137.070007,132.449997,133.479996,131.892349,151101000
2021-04-30,131.779999,133.559998,131.070007,131.460007,129.896393,109839500
2021-05-03,132.039993,134.070007,131.830002,132.539993,130.963547,75135100
2021-05-04,131.190002,131.490005,126.699997,127.849998,126.329346,137564700
2021-05-05,129.199997,130.449997,127.970001,128.100006,126.576378,84000900
2021-05-06,127.889999,129.750000,127.129997,129.740005,128.196869,78128300
2021-05-07,130.850006,131.259995,129.479996,130.210007,128.879822,78973300
2021-05-10,129.410004,129.539993,126.809998,126.849998,125.554131,88071200
2021-05-11,123.500000,126.269997,122.769997,125.910004,124.623749,126142800
2021-05-12,123.400002,124.639999,122.250000,122.769997,121.515816,112172300
2021-05-13,124.580002,126.150002,124.260002,124.970001,123.693352,105861300
2021-05-14,126.250000,127.889999,125.849998,127.449997,126.148018,81918000
2021-05-17,126.820000,126.930000,125.169998,126.269997,124.980072,74244600
2021-05-18,126.559998,126.989998,124.779999,124.849998,123.574577,63342900
2021-05-19,123.160004,124.919998,122.860001,124.690002,123.416214,92612000
2021-05-20,125.230003,127.720001,125.099998,127.309998,126.009438,76857100
2021-05-21,127.820000,128.000000,125.209999,125.430000,124.148651,79295400
2021-05-24,126.010002,127.940002,125.940002,127.099998,125.801590,63092900
2021-05-25,127.820000,128.320007,126.320000,126.900002,125.603638,72009500
2021-05-26,126.959999,127.389999,126.419998,126.849998,125.554131,56575900
2021-05-27,126.440002,127.639999,125.080002,125.279999,124.000191,94625600
2021-05-28,125.570000,125.800003,124.550003,124.610001,123.337021,71311100
2021-06-01,125.080002,125.349998,123.940002,124.279999,123.010384,67637100
2021-06-02,124.279999,125.239998,124.050003,125.059998,123.782425,59278900
2021-06-03,124.680000,124.849998,123.129997,123.540001,122.277962,76229200
2021-06-04,124.070000,126.160004,123.849998,125.889999,124.603951,75169300
2021-06-07,126.169998,126.320000,124.830002,125.900002,124.613846,71057600
2021-06-08,126.599998,128.460007,126.209999,126.739998,125.445259,74403800
2021-06-09,127.209999,127.750000,126.519997,127.129997,125.831284,56877900
2021-06-10,127.019997,128.190002,125.940002,126.110001,124.821701,71186400
2021-06-11,126.529999,127.440002,126.099998,127.349998,126.049034,53522400
2021-06-14,127.820000,130.539993,127.070000,130.479996,129.147049,96906500
2021-06-15,129.940002,130.600006,129.389999,129.639999,128.315643,62746300
2021-06-16,130.369995,130.889999,128.460007,130.149994,128.820419,91815000
2021-06-17,129.800003,132.550003,129.649994,131.789993,130.443649,96721700
2021-06-18,130.710007,131.509995,130.240005,130.460007,129.127243,108953300
